CLUSTER,CPU_FREQ,DDR_FREQ,IPS
0,884000,418000000,653713.0748
0,884000,902000000,721618.8124
0,884000,1104000000,748726.7465
0,884000,1373000000,782408.6914
0,884000,1531000000,805572.9437
0,884000,1795000000,807889.3141
0,884000,2107000000,832063.0636
0,884000,2405000000,839705.3357
0,884000,2746000000,873622.089
0,960000,418000000,685283.6809
0,960000,902000000,757021.2766
0,960000,1104000000,790901.1986
0,960000,1373000000,826846.3485
0,960000,1531000000,852898.5515
0,960000,1795000000,852750.5082
0,960000,2107000000,878866.7492
0,960000,2405000000,893087.1861
0,960000,2746000000,931053.6305
0,1037000,418000000,716058.3786
0,1037000,902000000,791497.9703
0,1037000,1104000000,829413.5712
0,1037000,1373000000,869334.7243
0,1037000,1531000000,899249.8113
0,1037000,1795000000,900052.9921
0,1037000,2107000000,927108.0236
0,1037000,2405000000,941966.435
0,1037000,2746000000,984636.2843
0,1133000,418000000,750087.3937
0,1133000,902000000,833942.6616
0,1133000,1104000000,876232.7808
0,1133000,1373000000,920665.4521
0,1133000,1531000000,951789.7218
0,1133000,1795000000,955164.0698
0,1133000,2107000000,989994.8908
0,1133000,2405000000,1004560.6019
0,1133000,2746000000,1046205.7383
0,1229000,418000000,782017.8443
0,1229000,902000000,873584.7311
0,1229000,1104000000,919243.0988
0,1229000,1373000000,967574.2473
0,1229000,1531000000,1002089.4645
0,1229000,1795000000,1006649.4542
0,1229000,2107000000,1040785.7659
0,1229000,2405000000,1063976.4193
0,1229000,2746000000,1104962.2686
0,1325000,418000000,812891.0291
0,1325000,902000000,914250.0511
0,1325000,1104000000,960227.9647
0,1325000,1373000000,1014956.0753
0,1325000,1531000000,1050972.3918
0,1325000,1795000000,1057846.6486
0,1325000,2107000000,1097652.4191
0,1325000,2405000000,1118013.5383
0,1325000,2746000000,1162364.2895
0,1421000,418000000,833100.055
0,1421000,902000000,949425.095
0,1421000,1104000000,1001866.0216
0,1421000,1373000000,1052183.5976
0,1421000,1531000000,1099595.7068
0,1421000,1795000000,1103820.0993
0,1421000,2107000000,1148666.1565
0,1421000,2405000000,1171831.3231
0,1421000,2746000000,1216411.9075
0,1517000,418000000,867521.2838
0,1517000,902000000,980611.1113
0,1517000,1104000000,1039814.3689
0,1517000,1373000000,1099057.6774
0,1517000,1531000000,1141315.7681
0,1517000,1795000000,1151024.6093
0,1517000,2107000000,1195485.1994
0,1517000,2405000000,1220753.8929
0,1517000,2746000000,1277606.8365
0,1604000,418000000,887106.0791
0,1604000,902000000,1009091.2361
0,1604000,1104000000,1067079.0475
0,1604000,1373000000,1132156.4799
0,1604000,1531000000,1182394.2205
0,1604000,1795000000,1187229.6791
0,1604000,2107000000,1241182.9025
0,1604000,2405000000,1264399.0047
0,1604000,2746000000,1324313.0414
0,1700000,418000000,902795.0311
0,1700000,902000000,1039634.3785
0,1700000,1104000000,1102375.0307
0,1700000,1373000000,1172768.8561
0,1700000,1531000000,1220695.1798
0,1700000,1795000000,1226582.9872
0,1700000,2107000000,1281344.5363
0,1700000,2405000000,1308656.151
0,1700000,2746000000,1372206.0936
1,826000,418000000,1357550.9997
1,826000,902000000,1498945.4238
1,826000,1104000000,1532874.0124
1,826000,1373000000,1574075.5679
1,826000,1531000000,1609032.2011
1,826000,1795000000,1600414.823
1,826000,2107000000,1634783.0709
1,826000,2405000000,1649473.4765
1,826000,2746000000,1671497.7338
1,941000,418000000,1466650.0431
1,941000,902000000,1639720.1486
1,941000,1104000000,1684084.1982
1,941000,1373000000,1734336.9664
1,941000,1531000000,1779436.5711
1,941000,1795000000,1771250.1217
1,941000,2107000000,1804309.2841
1,941000,2405000000,1831280.1468
1,941000,2746000000,1857208.0747
1,1056000,418000000,1567133.8214
1,1056000,902000000,1764434.5896
1,1056000,1104000000,1822621.8149
1,1056000,1373000000,1887461.684
1,1056000,1531000000,1938326.3195
1,1056000,1795000000,1930016.7165
1,1056000,2107000000,1983744.4692
1,1056000,2405000000,2002799.7749
1,1056000,2746000000,2027937.6205
1,1172000,418000000,1654392.9159
1,1172000,902000000,1884371.4453
1,1172000,1104000000,1954353.9739
1,1172000,1373000000,2031568.8978
1,1172000,1531000000,2096799.4873
1,1172000,1795000000,2080625.7346
1,1172000,2107000000,2146904.698
1,1172000,2405000000,2169716.4576
1,1172000,2746000000,2200054.7791
1,1287000,418000000,1736157.7722
1,1287000,902000000,1992846.5475
1,1287000,1104000000,2071341.9786
1,1287000,1373000000,2158248.3802
1,1287000,1531000000,2237296.5581
1,1287000,1795000000,2219358.287
1,1287000,2107000000,2296789.4716
1,1287000,2405000000,2325446.6675
1,1287000,2746000000,2358212.8682
1,1402000,418000000,1805468.0658
1,1402000,902000000,2091233.0395
1,1402000,1104000000,2172603.8617
1,1402000,1373000000,2279221.9707
1,1402000,1531000000,2366524.5949
1,1402000,1795000000,2345873.0663
1,1402000,2107000000,2439365.618
1,1402000,2405000000,2467502.976
1,1402000,2746000000,2504473.9684
1,1517000,418000000,1872140.7794
1,1517000,902000000,2184545.2663
1,1517000,1104000000,2268808.4633
1,1517000,1373000000,2383150.7097
1,1517000,1531000000,2484034.6338
1,1517000,1795000000,2464562.7955
1,1517000,2107000000,2568765.2002
1,1517000,2405000000,2607005.0424
1,1517000,2746000000,2646735.4484
1,1652000,418000000,1939496.4563
1,1652000,902000000,2278596.2286
1,1652000,1104000000,2378572.5022
1,1652000,1373000000,2504405.0655
1,1652000,1531000000,2618583.8913
1,1652000,1795000000,2597012.7669
1,1652000,2107000000,2714930.7796
1,1652000,2405000000,2757182.4263
1,1652000,2746000000,2803934.0956
1,1767000,418000000,1994611.6685
1,1767000,902000000,2358465.0286
1,1767000,1104000000,2457525.993
1,1767000,1373000000,2594027.2892
1,1767000,1531000000,2719019.9008
1,1767000,1795000000,2700942.1816
1,1767000,2107000000,2828795.8714
1,1767000,2405000000,2877983.8423
1,1767000,2746000000,2929642.7156
1,1882000,418000000,2043303.2789
1,1882000,902000000,2426131.4711
1,1882000,1104000000,2542133.8739
1,1882000,1373000000,2686728.7624
1,1882000,1531000000,2817735.1583
1,1882000,1795000000,2795025.7122
1,1882000,2107000000,2932712.4035
1,1882000,2405000000,2987625.1186
1,1882000,2746000000,3045103.8233
1,1988000,418000000,2084240.6388
1,1988000,902000000,2483984.7998
1,1988000,1104000000,2606404.3966
1,1988000,1373000000,2760111.0336
1,1988000,1531000000,2905671.9552
1,1988000,1795000000,2876410.4417
1,1988000,2107000000,3029355.25
1,1988000,2405000000,3086689.3544
1,1988000,2746000000,3149937.4587
1,2093000,418000000,2125394.7849
1,2093000,902000000,2539739.3561
1,2093000,1104000000,2668493.0224
1,2093000,1373000000,2833506.7357
1,2093000,1531000000,2981115.0207
1,2093000,1795000000,2955141.2815
1,2093000,2107000000,3113269.3701
1,2093000,2405000000,3176985.7068
1,2093000,2746000000,3245570.6957
1,2199000,418000000,2159443.243
1,2199000,902000000,2596534.8184
1,2199000,1104000000,2736135.7473
1,2199000,1373000000,2900483.9447
1,2199000,1531000000,3057525.4071
1,2199000,1795000000,3030066.9333
1,2199000,2107000000,3197930.9351
1,2199000,2405000000,3267379.5711
1,2199000,2746000000,3340074.9907
1,2266000,418000000,2183774.9723
1,2266000,902000000,2625763.0963
1,2266000,1104000000,2772769.429
1,2266000,1373000000,2945589.5538
1,2266000,1531000000,3098967.5965
1,2266000,1795000000,3073715.7657
1,2266000,2107000000,3246726.7532
1,2266000,2405000000,3319290.1617
1,2266000,2746000000,3393915.0212
1,2343000,418000000,2206266.5712
1,2343000,902000000,2666663.3265
1,2343000,1104000000,2810474.9926
1,2343000,1373000000,2982670.2149
1,2343000,1531000000,3152515.4728
1,2343000,1795000000,3125073.7469
1,2343000,2107000000,3306986.8768
1,2343000,2405000000,3378925.216
1,2343000,2746000000,3452444.4025
2,1402000,418000000,1801368.6313
2,1402000,902000000,2090457.4682
2,1402000,1104000000,2170048.1597
2,1402000,1373000000,2278738.4294
2,1402000,1531000000,2362148.0774
2,1402000,1795000000,2351685.8253
2,1402000,2107000000,2439968.3018
2,1402000,2405000000,2471259.8292
2,1402000,2746000000,2503547.5349
2,1690000,418000000,1957957.1598
2,1690000,902000000,2304518.2619
2,1690000,1104000000,2401117.3308
2,1690000,1373000000,2533932.6081
2,1690000,1531000000,2648630.0511
2,1690000,1795000000,2628529.7318
2,1690000,2107000000,2753431.1543
