CLUSTER,CPU_FREQ,DDR_FREQ,INST_RETIRED,CPU_CYCLES,STALL_BACKEND,STALL_FRONTEND,L3D_CACHE_REFILL,L3D_CACHE,MEM_ACCESS,IPC
0,884000,418000000,27402400.0,17206300.0,158358.0,595808.0,5256.15,18976.2,40045.4,1.59258
0,884000,902000000,27668600.0,17236000.0,141381.0,483476.0,5248.67,19194.5,40451.8,1.60528
0,884000,1104000000,27719000.0,17240000.0,141022.0,457534.0,5316.88,19460.6,40547.7,1.60783
0,884000,1373000000,27782600.0,17245900.0,141512.0,424778.0,5432.44,19288.6,40556.0,1.61097
0,884000,1531000000,27847700.0,17247900.0,132941.0,396425.0,5442.95,19282.0,40655.0,1.61456
0,884000,1795000000,27869700.0,17250700.0,126721.0,392211.0,5300.49,19148.4,40659.5,1.61557
0,884000,2107000000,27946200.0,17264100.0,119318.0,367756.0,5201.35,19100.7,40849.5,1.61875
0,884000,2405000000,27977700.0,17265600.0,115190.0,354021.0,5071.68,19088.7,40853.0,1.62043
0,884000,2746000000,28013200.0,17268300.0,119877.0,330494.0,5380.25,19216.7,40947.5,1.62224
0,960000,418000000,29734200.0,18728400.0,182595.0,693572.0,5738.93,20576.1,43460.3,1.58766
0,960000,902000000,30029100.0,18756300.0,162410.0,565380.0,5816.65,20778.9,43960.4,1.60102
0,960000,1104000000,30073200.0,18744700.0,160695.0,529177.0,5784.45,21174.7,43962.1,1.60435
0,960000,1373000000,30223000.0,18766900.0,143286.0,479074.0,5483.49,20831.9,44250.4,1.61044
0,960000,1531000000,30293800.0,18777700.0,143862.0,446860.0,5703.12,20834.4,44250.3,1.61328
0,960000,1795000000,30286700.0,18777600.0,144773.0,449896.0,5806.97,20809.2,44262.1,1.61291
0,960000,2107000000,30396400.0,18787200.0,126733.0,411946.0,5455.4,20762.5,44452.0,1.61793
0,960000,2405000000,30403300.0,18788900.0,129674.0,406507.0,5600.67,20728.5,44393.9,1.61815
0,960000,2746000000,30453600.0,18789900.0,131938.0,374888.0,5757.64,20836.7,44558.8,1.62074
0,1037000,418000000,32012100.0,20247300.0,215264.0,812077.0,6334.85,22263.5,46858.2,1.58105
0,1037000,902000000,32419400.0,20276000.0,175216.0,637159.0,6088.05,22196.8,47356.7,1.59891
0,1037000,1104000000,32508900.0,20281400.0,171179.0,593059.0,6064.91,22588.3,47552.3,1.6029
0,1037000,1373000000,32621900.0,20283100.0,156401.0,541838.0,5880.27,22338.5,47667.1,1.60833
0,1037000,1531000000,32690300.0,20297500.0,160000.0,511602.0,6191.49,22457.6,47864.5,1.61056
0,1037000,1795000000,32694800.0,20297100.0,158692.0,509606.0,6153.35,22413.1,47751.7,1.61081
0,1037000,2107000000,32809300.0,20309500.0,142258.0,470020.0,5897.89,22301.6,47958.3,1.61547
0,1037000,2405000000,32812700.0,20309300.0,149784.0,460182.0,6152.4,22351.6,47961.6,1.61565
0,1037000,2746000000,32887200.0,20320400.0,148745.0,427502.0,6331.52,22373.6,48063.1,1.61843
0,1133000,418000000,34935700.0,22148200.0,234176.0,938761.0,6721.44,24097.7,51060.8,1.57736
0,1133000,902000000,35324000.0,22171700.0,205876.0,758182.0,6787.17,24313.9,51669.4,1.5932
0,1133000,1104000000,35425000.0,22178200.0,203754.0,706380.0,6846.75,24576.3,51770.3,1.59729
0,1133000,1373000000,35618500.0,22187300.0,175312.0,628059.0,6328.4,24391.0,52165.9,1.60536
0,1133000,1531000000,35693700.0,22201500.0,179316.0,593102.0,6685.51,24327.7,52166.2,1.60772
0,1133000,1795000000,35673800.0,22198600.0,182363.0,598674.0,6795.52,24517.1,52154.9,1.60703
0,1133000,2107000000,35811400.0,22209600.0,162353.0,547609.0,6556.84,24292.3,52366.8,1.61243
0,1133000,2405000000,35818700.0,22207400.0,168596.0,534720.0,6770.43,24354.6,52362.7,1.61292
0,1133000,2746000000,35913000.0,22218700.0,165400.0,492383.0,6807.63,24421.8,52574.5,1.61635
0,1229000,418000000,37827700.0,24036300.0,255919.0,1068840.0,7067.27,25933.8,55372.2,1.57377
0,1229000,902000000,38260700.0,24069900.0,229603.0,869486.0,7247.56,26202.7,55882.3,1.58957
0,1229000,1104000000,38413600.0,24075200.0,218800.0,794047.0,7154.73,26293.1,56072.4,1.59557
0,1229000,1373000000,38546700.0,24084700.0,212231.0,730493.0,7214.77,26460.3,56362.9,1.60046
0,1229000,1531000000,38661200.0,24095800.0,202671.0,682332.0,7294.68,26369.0,56469.4,1.60448
0,1229000,1795000000,38663200.0,24098500.0,201939.0,684131.0,7241.47,26391.7,56574.1,1.60438
0,1229000,2107000000,38828700.0,24114000.0,178359.0,625078.0,6937.56,26318.1,56766.9,1.61021
0,1229000,2405000000,38841500.0,24110100.0,184472.0,606765.0,7131.29,26356.4,56773.9,1.611
0,1229000,2746000000,38940400.0,24116900.0,181796.0,556771.0,7163.73,26424.9,56871.7,1.61465
0,1325000,418000000,40627600.0,25939300.0,298927.0,1247660.0,7812.76,27916.5,59373.0,1.56626
0,1325000,902000000,41192600.0,25975200.0,249920.0,994190.0,7712.93,28434.5,60274.8,1.58584
0,1325000,1104000000,41405900.0,25980800.0,221818.0,900224.0,7338.61,28205.0,60571.0,1.59371
0,1325000,1373000000,41405900.0,25988700.0,258926.0,870951.0,8177.6,28317.6,60486.7,1.59322
0,1325000,1531000000,41668300.0,26002300.0,217990.0,768177.0,7595.11,28290.5,60966.1,1.60249
0,1325000,1795000000,41636900.0,26001300.0,223217.0,780247.0,7805.31,28279.7,60881.7,1.60134
0,1325000,2107000000,41803900.0,26015300.0,204720.0,712794.0,7688.6,28293.4,61163.4,1.6069
0,1325000,2405000000,41843700.0,26018400.0,204697.0,692262.0,7775.96,28236.0,61182.9,1.60824
0,1325000,2746000000,41966200.0,26031100.0,201392.0,634655.0,7723.53,28487.1,61378.3,1.61216
0,1421000,418000000,43578800.0,27847800.0,305988.0,1377410.0,7927.99,29585.7,63683.0,1.56489
0,1421000,902000000,44121200.0,27886800.0,274479.0,1122760.0,8223.25,30329.0,64485.9,1.58215
0,1421000,1104000000,44368500.0,27894500.0,243601.0,1013340.0,7841.0,30072.3,64882.8,1.59058
0,1421000,1373000000,44474400.0,27899800.0,259243.0,939695.0,8196.31,30459.4,64988.0,1.59407
0,1421000,1531000000,44646200.0,27922100.0,244167.0,873978.0,8277.37,30238.6,65276.4,1.59895
0,1421000,1795000000,44661100.0,27923400.0,238543.0,871386.0,8133.44,30112.3,65287.3,1.59941
0,1421000,2107000000,44859000.0,27936400.0,215609.0,788865.0,7922.01,30079.8,65578.9,1.60575
0,1421000,2405000000,44828800.0,27933700.0,231092.0,788823.0,8363.95,30589.1,65564.9,1.60483
0,1421000,2746000000,44997200.0,27944900.0,219276.0,710845.0,8161.95,30266.3,65762.7,1.61021
0,1517000,418000000,46312100.0,29748900.0,357032.0,1586250.0,8764.45,31510.7,67696.8,1.55677
0,1517000,902000000,47066800.0,29792500.0,290314.0,1244050.0,8545.08,32218.2,68789.3,1.57982
0,1517000,1104000000,47220300.0,29797300.0,292264.0,1154910.0,8712.45,32038.4,69091.5,1.58472
0,1517000,1373000000,47435100.0,29807400.0,278890.0,1049850.0,8603.52,32360.4,69384.1,1.59139
0,1517000,1531000000,47623000.0,29813800.0,251704.0,970905.0,8505.45,32238.7,69672.5,1.59735
0,1517000,1795000000,47660300.0,29826500.0,246186.0,966190.0,8409.83,32000.6,69695.4,1.59792
0,1517000,2107000000,47769200.0,29839700.0,247241.0,912964.0,8798.65,32381.3,69895.0,1.60086
0,1517000,2405000000,47822300.0,29837100.0,249533.0,876404.0,8813.32,32222.6,69980.6,1.60278
0,1517000,2746000000,47969800.0,29842000.0,243620.0,798707.0,8756.8,32238.8,70086.5,1.60746
0,1604000,418000000,48947600.0,31459400.0,363109.0,1708440.0,8840.65,33039.9,71493.0,1.5559
0,1604000,902000000,49667000.0,31497200.0,310557.0,1367320.0,8930.28,33890.2,72595.9,1.57687
0,1604000,1104000000,49845700.0,31507800.0,308068.0,1273390.0,9039.19,33860.5,72886.5,1.58201
0,1604000,1373000000,50071900.0,31520600.0,302174.0,1156680.0,9061.95,33960.1,73193.9,1.58854
0,1604000,1531000000,50312400.0,31532400.0,265866.0,1060780.0,8796.09,33772.5,73537.0,1.59558
0,1604000,1795000000,50342500.0,31541500.0,260544.0,1056520.0,8681.64,33768.6,73589.5,1.59607
0,1604000,2107000000,50497900.0,31553800.0,255525.0,980647.0,8878.53,33852.2,73783.5,1.60037
0,1604000,2405000000,50532700.0,31545900.0,259940.0,947485.0,8976.13,33859.8,73803.9,1.60188
0,1604000,2746000000,50676300.0,31557000.0,258827.0,873541.0,9117.39,34047.8,74079.9,1.60586
0,1700000,418000000,51666700.0,33351000.0,405154.0,1925350.0,9521.73,34952.5,75497.7,1.54918
0,1700000,902000000,52509800.0,33395900.0,343206.0,1526350.0,9554.15,35743.7,76786.5,1.57234
0,1700000,1104000000,52775800.0,33415000.0,329191.0,1400200.0,9433.69,35621.0,77186.5,1.57941
0,1700000,1373000000,52936700.0,33416600.0,338976.0,1295720.0,9745.59,35824.0,77384.8,1.58414
0,1700000,1531000000,53284800.0,33455800.0,292319.0,1172980.0,9385.39,35757.1,77900.4,1.5927
0,1700000,1795000000,53222600.0,33439100.0,295238.0,1190120.0,9532.99,35648.8,77802.7,1.59163
0,1700000,2107000000,53454100.0,33452700.0,275012.0,1085080.0,9428.83,35679.3,78115.3,1.5979
0,1700000,2405000000,53460000.0,33452100.0,289467.0,1066350.0,9789.69,35831.4,78187.6,1.5981
0,1700000,2746000000,53691200.0,33475800.0,278996.0,961971.0,9616.03,35868.5,78492.5,1.60388
1,826000,418000000,64355400.0,16239000.0,4852970.0,1190470.0,36681.7,97373.9,236903.0,3.96303
1,826000,902000000,65356600.0,16255000.0,4921990.0,974468.0,36796.6,99542.0,244047.0,4.02071
1,826000,1104000000,65487900.0,16259500.0,4946400.0,941905.0,38026.3,101249.0,244213.0,4.02768
1,826000,1373000000,65838300.0,16266100.0,4944360.0,878066.0,37497.4,100869.0,245814.0,4.04758
1,826000,1531000000,65984200.0,16268100.0,4972870.0,849087.0,37729.5,103939.0,240633.0,4.05604
1,826000,1795000000,65947200.0,16265200.0,4962110.0,857394.0,38096.4,103421.0,239277.0,4.0545
1,826000,2107000000,66171900.0,16271800.0,4972030.0,815598.0,38403.0,104484.0,239766.0,4.06666
1,826000,2405000000,66263600.0,16275600.0,4985010.0,795601.0,38010.2,104559.0,241464.0,4.07135
1,826000,2746000000,66398800.0,16275200.0,4990750.0,766361.0,38479.9,105982.0,242463.0,4.07975
1,941000,418000000,72943800.0,18524200.0,5507710.0,1465330.0,40918.7,110695.0,266887.0,3.93776
1,941000,902000000,74044100.0,18541000.0,5598070.0,1217410.0,43034.5,113605.0,270100.0,3.99353
1,941000,1104000000,74442000.0,18547800.0,5593880.0,1155940.0,42196.5,115521.0,268812.0,4.01352
1,941000,1373000000,74707600.0,18549000.0,5628010.0,1082920.0,43053.2,116208.0,274634.0,4.02758
1,941000,1531000000,75026600.0,18562600.0,5642240.0,1032290.0,42957.6,116992.0,271968.0,4.04181
1,941000,1795000000,74963000.0,18558100.0,5649230.0,1035090.0,42878.6,116735.0,274560.0,4.03936
1,941000,2107000000,75238300.0,18563200.0,5649070.0,987092.0,43759.4,118706.0,277396.0,4.05308
1,941000,2405000000,75303200.0,18562200.0,5668450.0,964545.0,43828.3,118370.0,276190.0,4.05681
1,941000,2746000000,75517700.0,18564800.0,5674110.0,923949.0,43408.6,119675.0,275612.0,4.06779
1,1056000,418000000,81303800.0,20808100.0,6146010.0,1782720.0,46105.6,123198.0,297191.0,3.90731
1,1056000,902000000,82938900.0,20842100.0,6260340.0,1445530.0,46550.8,127370.0,303070.0,3.97939
1,1056000,1104000000,83191900.0,20836900.0,6259530.0,1389650.0,47856.3,129823.0,301826.0,3.99251
1,1056000,1373000000,83609400.0,20847500.0,6310420.0,1294420.0,47702.0,130371.0,305831.0,4.01054
1,1056000,1531000000,83919700.0,20847000.0,6329610.0,1226980.0,48113.9,132103.0,306643.0,4.02551
1,1056000,1795000000,83847800.0,20845300.0,6328210.0,1240240.0,48394.4,131248.0,303761.0,4.02238
