CLUSTER,CPU_FREQ,DDR_FREQ,INST_RETIRED,CPU_CYCLES,STALL_BACKEND,STALL_FRONTEND,L3D_CACHE_REFILL,L3D_CACHE,MEM_ACCESS,IPC
0,884000,418000000,13555100.0,17170000.0,6219760.0,2751870.0,39281.8,140533.0,477654.0,0.78946
0,884000,902000000,14925700.0,17200400.0,5849690.0,2327960.0,41823.2,153752.0,526773.0,0.86775
0,884000,1104000000,15462600.0,17206100.0,5616330.0,2242430.0,43477.9,159417.0,545069.0,0.89867
0,884000,1373000000,16103500.0,17208600.0,5353160.0,2121260.0,45271.3,165793.0,568260.0,0.935783
0,884000,1531000000,16529100.0,17217300.0,5191000.0,2035690.0,46327.6,169710.0,583294.0,0.960021
0,884000,1795000000,16551400.0,17212400.0,5156300.0,2050800.0,47024.3,170150.0,584140.0,0.961588
0,884000,2107000000,17076700.0,17232300.0,4962060.0,1948200.0,47834.5,175112.0,602230.0,0.99097
0,884000,2405000000,17255200.0,17226600.0,4885000.0,1911790.0,48388.8,176659.0,608250.0,1.00167
0,884000,2746000000,17889500.0,17232800.0,4603120.0,1815870.0,49664.5,182678.0,631207.0,1.03811
0,960000,418000000,14272700.0,18689600.0,7006300.0,3050910.0,41011.0,147626.0,504076.0,0.763662
0,960000,902000000,15763400.0,18720000.0,6556280.0,2634040.0,44368.9,162130.0,556597.0,0.842062
0,960000,1104000000,16363300.0,18725800.0,6307740.0,2525930.0,46134.5,168334.0,576870.0,0.873829
0,960000,1373000000,17062500.0,18732300.0,6017230.0,2400480.0,48456.4,175467.0,601719.0,0.910862
0,960000,1531000000,17569700.0,18739300.0,5830930.0,2288290.0,49039.8,180221.0,620288.0,0.93759
0,960000,1795000000,17540400.0,18738400.0,5759960.0,2374350.0,50683.4,180755.0,619496.0,0.936062
0,960000,2107000000,18187500.0,18755500.0,5569210.0,2192550.0,50630.7,186735.0,641533.0,0.969716
0,960000,2405000000,18379900.0,18752000.0,5479470.0,2162490.0,51743.7,188180.0,648189.0,0.980158
0,960000,2746000000,19086600.0,18754000.0,5166710.0,2049350.0,52914.7,195665.0,673641.0,1.01774
0,1037000,418000000,14933700.0,20206900.0,7713510.0,3461010.0,43003.1,154247.0,526256.0,0.739049
0,1037000,902000000,16542000.0,20236800.0,7277460.0,2958330.0,46756.3,169976.0,583105.0,0.817406
