name,year,price,rating,oil,actuator,transmission,engine_capacity
Toyota Wish,2015,1810000,9.1,бензин,передний,вариатор,1.8
Audi A6,2021,5550000,9.2,дизель,4WD,автомат,2.0
BMW 3-Series,2019,3590000,9.5,бензин,4WD,АКПП,2.0
Mercedes-Benz GLE Coupe,2015,4650000,9.4,бензин,4WD,АКПП,3.0
Ford Mondeo,2013,1150000,9.0,бензин,передний,робот,2.0
Li ONE,2020,4500000,,гибрид,4WD,АКПП,
OMODA C5,2023,2749900,,бензин,передни,вариатор,1.5
Mazda Mazda3,2008,505000,8.8,бензин,передний,механика,1.6
BMW X1,2018,3550000,9.2,дизель,4WD,АКПП,2.0
Lexus CT200h,2012,1250000,9.4,гибрид,передний,вариатор,
Nissan Note,2015,1020000,8.9,бензин,передний,вариатор,1.2
Volkswagen Polo,2017,867000,8.7,бензин,передний,АКПП,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
Лада 2114 Самара,2011,220000,7.9,бензин,передний,механика,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
Лада 2115 Самара,2012,115000,7.7,бензин,передний,механика,1.6
Kia Spectra,2006,295000,8.2,бензин,передний,механика,1.5
Lexus GX460,2015,4000000,9.3,бензин,4WD,АКПП,
Mazda CX-7,2010,1050000,8.7,бензин,4WD,АКПП,2.3
Kia Carnival,2021,4351000,8.8,дизель,передний,АКПП,2.2
Skoda Octavia,2018,1665000,9.2,бензин,передний,механика,1.6
Kia Carnival,2019,3200000,9.3,дизель,передний,АКПП,2.2
Ford Kuga,2014,1515000,9.0,дизель,4WD,робот,2.0
BMW 7-Series,2019,7101000,9.3,дизель,4WD,АКПП,3.0
Kia K3,2019,2250000,,бензин,передний,вариатор,1.6
Renault Duster,2021,2369000,,бензин,4WD,автомат,1.3
Geely Atlas,2018,1700000,,бензин,передний,автомат,2.4
Лада 2115 Самара,2007,150000,7.7,бензин,передний,механика,1.5
Mazda CX-5,2013,1850000,9.3,бензин,передний,АКПП,2.0
Chevrolet Cruze,2011,570000,8.5,бензин,передний,механика,1.8
Opel Insignia,2014,1099000,9.1,бензин,передний,АКПП,1.6
Лада Ларгус,2015,785000,8.4,бензин,передний,механика,1.6
Nissan Juke,2017,1200000,8.8,бензин,передний,вариатор,1.6
Nissan Qashqai,2008,840000,8.6,дизель,передний,механика,1.5
Geely Tugella FY11,2019,2700000,,бензин,передний,автомат,1.5
Kia K5,2021,2674000,9.3,бензин,передний,АКПП,2.0
Mitsubishi Pajero Sport,2019,3590000,9.0,дизель,4WD,АКПП,2.4
Nissan Murano,2010,1250000,9.2,бензин,4WD,вариатор,3.5
Volkswagen Polo,2014,1029000,8.7,бензин,передний,АКПП,1.6
Skoda Rapid,2016,1325000,8.9,бензин,передний,робот,1.4
Volkswagen Touareg,2017,3871000,9.4,дизель,4WD,АКПП,3.0
Mazda Axela,2016,1700000,9.4,дизель,передний,АКПП,1.5
Mercedes-Benz R-Class,2012,2149000,8.8,дизель,4WD,АКПП,3.0
Mercedes-Benz B-Class,2009,819000,8.8,бензин,передний,вариатор,1.7
Mitsubishi Outlander,2012,1519000,9.0,бензин,4WD,вариатор,2.0
Kia Rio,2016,1359000,8.9,бензин,передний,АКПП,1.6
Mitsubishi Outlander,2019,2479000,9.0,бензин,4WD,вариатор,2.0
Renault Logan,2008,319000,7.9,бензин,передний,механика,1.6
Renault Duster,2019,1889000,8.4,бензин,4WD,механика,2.0
Renault Arkana,2021,2269000,,бензин,4WD,автомат,1.3
Skoda Octavia,2012,799000,8.9,бензин,передний,механика,1.8
Chery Tiggo 4,2019,1599000,8.9,бензин,передний,вариатор,2.0
Chery Tiggo 7 Pro,2022,2599000,,бензин,передний,вариатор,1.5
Skoda Octavia,2014,1249000,9.2,бензин,передний,механика,1.6
Toyota Corolla,2017,1589000,9.2,бензин,передний,вариатор,1.6
Nissan Qashqai,2011,1249000,8.6,бензин,4WD,вариатор,2.0
Great Wall Hover H3,2014,1029000,8.5,бензин,4WD,механика,2.0
Ford Kuga,2018,2269000,9.0,бензин,передний,АКПП,2.5
Volkswagen Polo,2013,879000,8.7,бензин,передний,механика,1.6
Volkswagen Tiguan,2012,1250000,9.0,бензин,передний,робот,1.4
Skoda Yeti,2010,718000,8.7,бензин,передний,механика,1.2
BMW X3,2013,2100000,9.3,дизель,4WD,АКПП,2.0
Лада Веста,2020,1400000,8.7,бензин,передний,вариатор,1.6
Mitsubishi ASX,2012,1140000,8.7,бензин,передний,вариатор,1.8
Opel Astra GTC,2012,999000,9.0,бензин,передний,АКПП,1.4
Kia Cerato,2018,1549000,,бензин,передний,АКПП,2.0
Лада Веста,2018,799000,8.7,бензин,передний,механика,1.6
Kia Soul,2022,2399000,9.2,бензин,передний,АКПП,2.0
Kia Seltos,2021,2399777,9.0,бензин,передний,АКПП,1.6
Volkswagen Touareg,2020,6599777,9.5,бензин,4WD,АКПП,2.0
Audi A5,2016,3239000,9.3,бензин,4WD,робот,2.0
Hyundai Solaris,2020,1599777,9.1,бензин,передний,АКПП,1.6
Peugeot 3008,2020,2250000,,дизель,передний,автомат,1.5
Hyundai i30,2014,999000,9.1,бензин,передний,АКПП,1.6
Hyundai Tucson,2019,1999000,9.2,бензин,4WD,механика,2.0
Лада Веста,2018,1049000,8.7,бензин,передний,механика,1.6
Hyundai Creta,2019,2249777,9.1,бензин,4WD,АКПП,1.6
Hyundai Solaris,2016,1349000,8.8,бензин,передний,АКПП,1.6
Mercedes-Benz M-Class,2014,3499000,9.4,дизель,4WD,АКПП,3.0
Renault Logan,2005,299000,7.9,бензин,передний,механика,1.4
Renault Duster,2017,1499000,,бензин,4WD,АКПП,2.0
Chevrolet Cruze,2011,899000,8.5,бензин,передний,АКПП,1.8
Hyundai Tucson,2007,939000,,бензин,4WD,автомат,2.0
Nissan X-Trail,2019,2399000,9.0,бензин,передний,вариатор,2.0
Chery Tiggo 8 Pro,2022,2999000,,бензин,передний,робот,1.6
Лада Веста,2020,1249000,8.7,бензин,передний,механика,1.6
Renault Logan,2014,649000,7.9,бензин,передний,механика,1.4
Kia Rio,2017,1549000,,бензин,передний,АКПП,1.6
Land Rover Discovery,2008,1299000,8.9,дизель,4WD,АКПП,2.7
Mercedes-Benz E-Class,2011,1350000,9.4,бензин,задний,АКПП,1.8
Лада Веста,2020,1399000,8.7,бензин,передний,вариатор,1.6
Audi A6,2014,1650000,9.4,бензин,передний,вариатор,2.0
Datsun on-DO,2019,699000,8.3,бензин,передний,АКПП,1.6
Hyundai Solaris,2021,1699000,9.1,бензин,передний,АКПП,1.6
Mitsubishi Outlander,2018,2049000,9.0,бензин,4WD,вариатор,2.0
Toyota Land Cruiser Prado,2018,4550000,9.2,дизель,4WD,АКПП,2.8
BMW X7,2019,8499000,9.4,бензин,4WD,АКПП,3.0
Volkswagen Polo,2016,949000,8.7,бензин,передний,механика,1.6
EXEED VX,2023,4400000,,бензин,4WD,робот,2.0
Volkswagen Touareg,2007,999000,9.0,дизель,4WD,АКПП,3.0
Land Rover Discovery,2006,1249000,8.9,дизель,4WD,АКПП,2.7
Vortex Estina,2009,319900,8.0,бензин,передний,механика,2.0
Tank 500,2023,5659000,,бензин,4W,АКПП,3.0
Toyota Supra,1994,4950000,9.2,бензин,задний,механика,3.0
Daewoo Nexia,2011,199000,7.5,бензин,передний,механика,1.5
Chevrolet Lacetti,2008,365000,,бензин,передний,механика,1.4
Renault Megane,2000,100000,7.9,бензин,передний,механика,1.6
Geely Coolray SX11,2023,2499000,9.3,бензин,передний,автомат,1.5
Renault Laguna,2000,60000,8.2,бензин,передний,механика,2.0
Alfa Romeo Giulia,2018,3000000,,бензин,задний,автомат,2.0
Genesis GV70,2021,5699000,,бензин,4WD,АКПП,2.5
Kia Sorento,2020,2909000,8.8,бензин,4WD,АКПП,2.4
Skoda Karoq,2019,3070000,9.0,бензин,4WD,робот,2.0
Hyundai Solaris,2012,770000,8.8,бензин,передний,механика,1.6
OMODA C5,2023,2749900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2749900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2749900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
EXEED RX,2023,5450000,,бензин,4W,робот,2.0
EXEED RX,2023,5450000,,бензин,4W,робот,2.0
EXEED RX,2023,5450000,,бензин,4W,робот,2.0
EXEED RX,2023,5450000,,бензин,4W,робот,2.0
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
EXEED RX,2023,5450000,,бензин,4W,робот,2.0
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
Subaru Impreza,2008,799900,8.5,бензин,4WD,механика,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2619900,,бензин,передни,вариатор,1.5
Changan CS75 Plus,2023,2950000,,бензин,передний,АКПП,1.5
OMODA C5,2023,2619900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2619900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2219900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2219900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2219900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2619900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2619900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2819900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2619900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2949900,,бензин,передни,вариатор,1.5
OMODA C5,2023,3309900,,бензин,4W,робот,1.6
OMODA S5,2023,2319900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2949900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2819900,,бензин,передни,вариатор,1.5
OMODA C5,2023,3139900,,бензин,4W,робот,1.6
OMODA C5,2023,2949900,,бензин,передни,вариатор,1.5
OMODA C5,2023,3309900,,бензин,4W,робот,1.6
OMODA C5,2023,3309900,,бензин,4W,робот,1.6
OMODA C5,2023,2819900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2949900,,бензин,передни,вариатор,1.5
OMODA C5,2023,3139900,,бензин,4W,робот,1.6
OMODA C5,2023,2819900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2949900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2949900,,бензин,передни,вариатор,1.5
OMODA C5,2023,3309900,,бензин,4W,робот,1.6
OMODA S5,2023,2319900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2949900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2819900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2949900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2949900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2819900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2679900,,бензин,передни,вариатор,1.5
OMODA C5,2023,3169900,,бензин,4W,робот,1.6
OMODA C5,2023,2619900,,бензин,передни,вариатор,1.5
Volkswagen Polo,2015,950000,8.7,бензин,передний,механика,1.6
Hyundai Creta,2020,1999000,,бензин,передний,АКПП,1.6
OMODA C5,2023,2749900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2329900,,бензин,передни,вариатор,1.5
Лада Гранта,2018,849999,8.1,бензин,передний,робот,1.6
OMODA C5,2023,2619900,,бензин,передни,вариатор,1.5
OMODA C5,2023,2479900,,бензин,передни,вариатор,1.5
OMODA S5,2023,2219900,,бензин,передни,вариатор,1.5
Mercedes-Benz GLK-Class,2013,2300000,9.2,дизель,4WD,АКПП,2.1
УАЗ Патриот,2023,1630000,8.1,бензин,4W,механика,2.7
Mazda Mazda6,2013,1589000,9.4,бензин,передний,АКПП,2.0
Nissan Juke,2014,1399000,8.8,бензин,передний,вариатор,1.6
Geely Coolray SX11,2023,3149000,,бензин,передний,автомат,1.5
Volkswagen Polo,2021,1849000,9.0,бензин,передний,механика,1.6
Geely Coolray SX11,2020,2049000,9.3,бензин,передний,робот,1.5
Chevrolet Captiva,2013,1360000,8.6,дизель,4WD,АКПП,2.2
Volkswagen Teramont,2019,4699000,8.8,бензин,4WD,АКПП,3.6
Skoda Superb,2021,3749000,9.4,бензин,передний,робот,2.0
Volkswagen Tiguan,2018,2649000,9.4,бензин,передний,робот,1.4
Volkswagen Tiguan,2018,2649000,9.4,бензин,передний,робот,1.4
Volkswagen Polo,2020,1749000,9.0,бензин,передний,механика,1.6
Daewoo Nexia,2005,190000,7.5,бензин,передний,механика,1.5
Лада 2109,1995,99000,7.4,бензин,передний,механика,1.5
Лада Калина,2009,199700,7.8,бензин,передний,механика,1.6
Ford Mondeo,2001,369700,8.4,бензин,передний,АКПП,2.0
Skoda Octavia,1999,274700,8.4,бензин,передний,механика,1.6
Jaguar F-Pace,2019,3420000,8.9,дизель,4WD,АКПП,2.0
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
Volvo XC60,2018,3199000,9.0,дизель,4WD,АКПП,2.0
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
Chery Tiggo 7 Pro,2020,2149000,,бензин,передний,вариатор,1.5
Nissan Terrano,2018,1675000,8.4,бензин,4WD,АКПП,2.0
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
OMODA S5 GT,2023,2739900,,бензин,передни,робот,1.6
Volkswagen Caddy,2008,555000,8.5,бензин,передний,механика,1.4
Toyota Camry,2021,4399000,9.4,бензин,передний,АКПП,3.5
Fiat 500,2009,520000,8.6,бензин,передний,механика,1.2
Kia K5,2021,2759000,9.3,бензин,передний,АКПП,2.5
Лада Веста Кросс,2018,1260000,8.7,бензин,передний,робот,1.8
Ford Tourneo Connect,2019,2190000,,дизель,передний,механика,1.5
Лада Ларгус Кросс,2019,1300000,8.3,бензин,передний,механика,1.6
Kia Carnival,2019,3350000,9.3,дизель,передний,АКПП,2.2
Volkswagen Polo,2012,894000,8.7,бензин,передний,АКПП,1.6
Volkswagen Touareg,2018,4901000,9.5,бензин,4WD,АКПП,3.0
BMW X3,2018,3614000,9.4,дизель,4WD,АКПП,2.0
Kia Sorento,2019,2993000,9.3,дизель,4WD,АКПП,2.2
Kia Cerato,2019,1957000,,бензин,передний,АКПП,2.0
Volkswagen Polo,2017,1421000,8.7,бензин,передний,робот,1.4
Kia Cerato,2021,2524000,9.3,бензин,передний,АКПП,2.0
Ford EcoSport,2016,1372000,8.7,бензин,передний,автомат,1.6
Geely Monjaro,2023,4964990,,бензин,4W,АКПП,2.0
Geely Atlas,2020,1957000,,бензин,4WD,автомат,2.4
Geely Monjaro,2023,4864990,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4964990,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4964990,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,5050000,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4964990,,бензин,4W,АКПП,2.0
Geely Monjaro,2023,4964990,,бензин,4W,АКПП,2.0
Toyota Camry,2020,3550000,9.4,бензин,передний,АКПП,2.5
Porsche Cayenne,2018,7900000,9.0,бензин,4WD,АКПП,3.0
Ford Explorer,1991,55000,8.3,бензин,4WD,АКПП,4.0
Mercedes-Benz C-Class,2017,4029000,9.5,бензин,4WD,АКПП,3.0
Лада 2111,2001,79000,7.4,бензин,передний,механика,1.5
Audi A3,2011,850000,9.0,бензин,передний,робот,1.4
Hyundai Getz,2007,475000,8.4,бензин,передний,механика,1.4
Hyundai Creta,2017,1489000,9.1,бензин,передний,АКПП,2.0
Kia Sportage,2018,2359000,9.1,бензин,4WD,АКПП,2.0
Chevrolet Spark,2011,659000,,бензин,передний,автомат,1.0
Лада 2106,1999,50000,7.5,бензин,задний,механика,1.6
Chevrolet Cruze,2014,919000,8.5,бензин,передний,механика,1.6
Audi Q5,2012,1958000,9.2,бензин,4WD,АКПП,2.0
Kia Soul,2018,1839000,9.1,бензин,передний,АКПП,2.0
Hyundai Matrix,2009,519000,8.3,бензин,передний,механика,1.8
Cadillac SRX,2015,2449000,9.1,бензин,4WD,АКПП,3.0
Porsche Cayenne,2023,23247910,9.0,бензин,4W,АКПП,3.0
Honda Stepwgn,2016,2000000,9.5,бензин,4WD,вариатор,1.5
Land Rover Discovery,1999,575000,8.4,дизель,4WD,АКПП,2.5
Zeekr 001,2023,8250000,,электро,4W,автомат,
Kia Cerato,2019,2080000,,бензин,передний,АКПП,2.0
Mercedes-Benz GLK-Class,2011,1599000,9.2,дизель,4WD,АКПП,2.1
Hyundai Creta,2016,1850000,9.1,бензин,4WD,АКПП,2.0
Toyota C-HR,2019,2250000,9.4,бензин,передний,вариатор,1.2
Renault Duster,2018,1599000,,бензин,4WD,АКПП,2.0
Лада 2107,2005,52000,7.7,бензин,задний,механика,1.6
Subaru Legacy B4,2006,620000,9.0,бензин,4WD,механика,2.0
Honda Civic,2006,530000,9.1,бензин,передний,механика,1.8
Opel Vectra,1997,87000,8.1,бензин,передний,механика,1.6
Opel Omega,1996,135000,8.2,бензин,задний,механика,2.5
Skoda Octavia,2016,1539000,9.2,бензин,передний,АКПП,1.6
Volkswagen Passat,2019,2300000,9.4,дизель,передний,робот,1.6
BMW 7-Series,2021,9100000,9.3,дизель,4WD,АКПП,3.0
BMW 3-Series,1996,200000,8.4,бензин,задний,механика,1.6
Volvo C40,2022,5400000,,электро,передний,АКПП,
Лада 2107,2008,100000,7.7,бензин,задний,механика,1.6
Mazda Mazda3,2004,365000,8.8,бензин,передний,АКПП,1.6
Mazda Mazda3,2005,435000,8.8,бензин,передний,механика,2.0
Mazda 626,1993,50000,8.3,бензин,передний,механика,2.0
Kia Sorento,2022,6260000,9.2,бензин,4W,АКПП,2.5
Skoda Octavia,2018,2050777,9.2,бензин,передний,робот,1.8
Geely Monjaro,2023,4250777,,бензин,4WD,АКПП,2.0
Hyundai Creta,2021,2100777,9.1,бензин,передний,АКПП,1.6
Renault Sandero,2011,529000,8.1,бензин,передний,механика,1.4
Лада Веста,2017,915000,8.7,бензин,передний,механика,1.6
Nissan NV200,2017,1750000,8.5,бензин,передний,АКПП,1.6
Лада Приора,2008,195000,8.2,бензин,передний,механика,1.6
Land Rover Discovery,2010,1680000,9.3,дизель,4WD,АКПП,3.0
Kia Sportage,2021,2649000,,бензин,4WD,АКПП,2.0
GAC GS5,2023,2799900,,бензин,передни,АКПП,1.5
Kia K5,2021,2899000,9.3,бензин,передний,АКПП,2.5
GAC GS5,2023,2655000,,бензин,передни,АКПП,1.5
Kia Ceed,2014,599000,9.0,бензин,передний,механика,1.6
Hyundai Solaris,2012,880000,8.8,бензин,передний,АКПП,1.6
Лада Гранта,2020,817000,8.1,бензин,передний,механика,1.6
Лада 4x4 2121 Нива,2021,949000,7.4,бензин,4WD,механика,1.7
Ford Kuga,2019,2140000,9.0,бензин,передний,АКПП,2.5
Kia Soul,2014,1590000,9.1,бензин,передний,АКПП,1.6
Peugeot 308,2008,499000,8.4,бензин,передний,АКПП,1.6
Subaru Impreza,2019,1400000,9.1,бензин,передний,вариатор,1.6
Skoda Superb,2011,900000,9.2,бензин,передний,автомат,1.8
Peugeot 206,2007,338000,7.9,бензин,передний,АКПП,1.4
Chevrolet Lacetti,2006,395000,,бензин,передний,механика,
Peugeot 308,2011,623000,8.4,бензин,передний,АКПП,1.6
Mitsubishi Galant,1999,273000,8.5,бензин,передний,автомат,2.4
Chevrolet Aveo,2007,430000,8.0,бензин,передний,механика,1.4
Chery Kimo A1,2011,245000,7.9,бензин,передний,механика,1.3
Hyundai Accent,2008,369000,8.1,бензин,передний,АКПП,1.5
Opel Astra,2007,372000,8.6,дизель,передний,механика,1.2
Kia Rio,2010,645000,8.4,бензин,передний,АКПП,1.4
Opel Astra GTC,2006,445000,8.7,бензин,передний,АКПП,1.8
Chevrolet Rezzo,2008,315000,8.1,бензин,передний,механика,1.6
Chevrolet Lanos,2007,155000,7.5,бензин,передний,механика,1.5
Volkswagen Tiguan,2020,2659000,9.4,бензин,передний,механика,1.4
Chery M11,2010,305000,8.3,бензин,передний,механика,1.6
Volkswagen Polo,2021,1899000,9.0,бензин,передний,АКПП,1.6
Kia Picanto,2006,425000,,бензин,передний,автомат,1.1
Chery Bonus A13,2011,267000,8.1,бензин,передний,механика,1.5
BMW 3-Series,2020,3899000,9.5,дизель,задний,АКПП,2.0
Peugeot 207,2007,459000,8.5,бензин,передний,АКПП,1.6
Volkswagen Polo,2020,1899000,9.0,бензин,передний,робот,1.4
Subaru Forester,2006,620000,8.7,бензин,4WD,АКПП,2.0
Лада Приора,2009,253000,8.2,бензин,передний,механика,1.6
Great Wall Hover H5,2011,899000,8.5,бензин,4WD,механика,2.4
Лада 2114 Самара,2009,163000,7.9,бензин,передний,механика,1.6
Nissan Note,2007,467000,8.4,бензин,передний,механика,1.4
Vortex Tingo,2011,490000,8.0,бензин,передний,механика,1.8
Лада Приора,2016,515000,8.2,бензин,передний,механика,
BMW X3,2018,4350000,9.4,дизель,4WD,АКПП,2.0
Hyundai ix35,2013,1599000,8.7,бензин,4WD,АКПП,2.0
Kia Sorento,2019,2945000,9.3,бензин,4WD,АКПП,2.4
Hyundai ix35,2012,1449789,8.7,бензин,4WD,АКПП,2.0
Porsche Cayenne,2012,2989789,9.5,дизель,4WD,АКПП,3.0
Mitsubishi Pajero Sport,2008,799000,8.5,дизель,4WD,механика,2.5
Skoda Octavia,2010,749777,8.9,бензин,передний,механика,1.4
Volkswagen Golf,2006,649777,8.9,бензин,передний,механика,1.6
Renault Arkana,2019,1849888,,бензин,передний,автомат,1.3
