name,year,price,rating,oil,actuator,transmission,engine_capacity
Honda Vezel,2014,1800000,9.2,гибрид,гибрид,гибрид,
Leapmotor C11,2022,4250000,,электро,электро,электро,
GAC Aion S,2022,3450000,,электро,электро,электро,
Toyota Wish,2015,1810000,9.1,бензин,бензин,бензин,1.8
Audi A6,2021,5450000,9.2,дизель,дизель,дизель,2.0
BMW 3-Series,2019,3590000,9.5,бензин,бензин,бензин,2.0
Mercedes-Benz GLE Coupe,2015,4650000,9.4,бензин,бензин,бензин,3.0
Ford Mondeo,2013,1150000,9.0,бензин,бензин,бензин,2.0
Li ONE,2020,4500000,,гибрид,гибрид,гибрид,
Mazda Mazda3,2008,505000,8.8,бензин,бензин,бензин,1.6
Audi A5,2011,1425000,,бензин,бензин,бензин,1.8
Renault Laguna,2009,729000,8.9,дизель,дизель,дизель,1.5
Nissan X-Trail,2021,2795000,9.0,бензин,бензин,бензин,2.0
Hyundai Solaris,2021,1760000,9.1,бензин,бензин,бензин,1.6
Renault Arkana,2020,1939000,8.8,бензин,бензин,бензин,1.3
Volkswagen Polo,2020,1195000,8.7,бензин,бензин,бензин,1.6
Mercedes-Benz E-Class,2019,3899000,9.5,бензин,бензин,бензин,2.0
Kia Rio X (X-Line),2018,1490000,9.1,бензин,бензин,бензин,1.6
BMW 5-Series,2011,1949000,9.5,дизель,дизель,дизель,2.0
Ford S-MAX,2010,1149000,8.9,бензин,бензин,бензин,2.0
Hyundai Sonata,2019,1899000,,бензин,бензин,бензин,2.0
Citroen C-Crosser,2011,1149000,8.9,бензин,бензин,бензин,2.0
Chevrolet Aveo,2010,640000,8.0,бензин,бензин,бензин,1.4
Mazda Mazda6,2006,815000,8.6,бензин,бензин,бензин,2.3
Mercedes-Benz GLE,2022,11250000,9.1,дизель,дизель,дизель,2.9
Cadillac Escalade,2012,2699000,9.3,бензин,бензин,бензин,6.2
Audi Q5,2012,1612000,9.2,бензин,бензин,бензин,2.0
Toyota Camry,2020,3060000,9.4,бензин,бензин,бензин,2.5
Genesis G80,2018,2590000,,бензин,бензин,бензин,
Ravon R2,2018,949000,,бензин,бензин,бензин,1.2
Mercedes-Benz E-Class,2011,1275000,9.4,бензин,бензин,бензин,1.8
Лада Гранта,2020,779000,8.1,бензин,бензин,бензин,1.6
BMW 5-Series,2022,7150000,9.6,дизель,дизель,дизель,2.0
Li L9,2023,11443680,,гибрид,гибрид,гибрид,
Volkswagen Touareg,2021,11389000,,дизель,дизель,дизель,3.0
Kia Ceed,2010,1098600,8.6,бензин,бензин,бензин,1.6
BMW X6,2023,16700000,9.3,дизель,дизель,дизель,3.0
Mercedes-Benz GLE Coupe,2023,16850000,,дизель,дизель,дизель,3.0
Chevrolet Rezzo,2007,399000,8.1,бензин,бензин,бензин,1.6
Volkswagen Passat,1992,145000,7.9,бензин,бензин,бензин,1.8
Jetta VS5,2023,2475000,,бензин,бензин,бензин,1.4
Nissan Juke,2014,1279000,8.8,бензин,бензин,бензин,1.6
Volkswagen Tiguan,2011,1199000,9.0,бензин,бензин,бензин,2.0
Mercedes-Benz B-Class,2014,1269000,9.1,бензин,бензин,бензин,1.6
EXEED VX,2022,3900000,,бензин,бензин,бензин,2.0
Kia K5,2018,2250000,,бензин,бензин,бензин,2.0
УАЗ Патриот,2023,1780000,8.1,бензин,бензин,бензин,2.7
Haval M6,2023,2089000,,бензин,бензин,бензин,1.5
EXEED TXL,2023,4680000,,бензин,бензин,бензин,1.6
Volkswagen Transporter,2021,5495000,,автомат,автомат,автомат,2.0
Honda Elysion,2007,1340000,9.2,бензин,бензин,бензин,2.4
Lifan X60,2015,650000,8.6,бензин,бензин,бензин,1.8
Suzuki SX4,2008,629000,,бензин,бензин,бензин,1.6
Ford Focus,2014,839000,8.9,бензин,бензин,бензин,1.6
Tank 500,2023,6899000,,бензин,бензин,бензин,3.0
BMW X1,2013,1176000,8.8,бензин,бензин,бензин,2.0
Hyundai Creta,2018,2700000,9.1,бензин,бензин,бензин,2.0
