<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;20161013;000000;137.7000000;137.8800000;136.5700000;137.4700000;15111600
GAZP;D;20161014;000000;137.5700000;137.8600000;135.8300000;136.2000000;12920690
GAZP;D;20161017;000000;136.0800000;136.4300000;135.3000000;135.5700000;14793980
GAZP;D;20161018;000000;136.0100000;136.4600000;135.4100000;135.8100000;19026660
GAZP;D;20161019;000000;136.1000000;136.1600000;134.7000000;135.4900000;11799010
GAZP;D;20161020;000000;135.6900000;135.7400000;134.7000000;134.7200000;12383860
GAZP;D;20161021;000000;135.1000000;135.3500000;133.9500000;134.9600000;15492890
GAZP;D;20161024;000000;135.2000000;136.1400000;134.7500000;135.0500000;15300690
GAZP;D;20161025;000000;135.2900000;135.9700000;134.8800000;135.3000000;15465450
GAZP;D;20161026;000000;135.1100000;135.7000000;134.5500000;135.3200000;11927180
GAZP;D;20161027;000000;135.3800000;135.6400000;134.6200000;135.0400000;12329090
GAZP;D;20161028;000000;134.9900000;135.0400000;134.4000000;135.0000000;9968980
GAZP;D;20161031;000000;136.3000000;139.4400000;136.1600000;138.8400000;42578620
GAZP;D;20161101;000000;139.1500000;142.4400000;139.0100000;141.9800000;49393830
GAZP;D;20161102;000000;141.4900000;143.6400000;140.0300000;140.8100000;43116430
GAZP;D;20161103;000000;140.7200000;141.3000000;139.3000000;139.9000000;24853410
GAZP;D;20161107;000000;140.5300000;140.9600000;138.5000000;138.5000000;23537810
GAZP;D;20161108;000000;138.8100000;140.9800000;138.8100000;139.3200000;20823850
GAZP;D;20161109;000000;138.0000000;145.6200000;137.5500000;145.6200000;78726330
GAZP;D;20161110;000000;146.4500000;151.3000000;145.7500000;147.4000000;103024690
GAZP;D;20161111;000000;147.5000000;149.5000000;145.7900000;147.8800000;45394160
GAZP;D;20161114;000000;148.5700000;149.6700000;145.9600000;146.2600000;31632780
GAZP;D;20161115;000000;146.5400000;148.0000000;145.6000000;145.9000000;23657610
GAZP;D;20161116;000000;147.0300000;148.8000000;145.1400000;145.5000000;40872880
GAZP;D;20161117;000000;145.8200000;147.7800000;145.3200000;147.7000000;28322110
GAZP;D;20161118;000000;147.5100000;148.2900000;146.7400000;146.9600000;14636600
GAZP;D;20161121;000000;147.6000000;149.8500000;147.6000000;149.6000000;26156510
GAZP;D;20161122;000000;150.2100000;150.8300000;149.0600000;150.0000000;26476350
GAZP;D;20161123;000000;150.2400000;150.3800000;148.5600000;149.4900000;19319250
GAZP;D;20161124;000000;149.5300000;152.2500000;149.3500000;151.1100000;26207750
GAZP;D;20161125;000000;150.9400000;151.6000000;149.5000000;151.3100000;17894050
GAZP;D;20161128;000000;151.1400000;151.4800000;148.3900000;148.9400000;24390930
GAZP;D;20161129;000000;148.8400000;149.4900000;147.3400000;147.7500000;21135180
GAZP;D;20161130;000000;147.9900000;151.1200000;147.6000000;148.8000000;44322650
GAZP;D;20161201;000000;149.5900000;153.7000000;149.5500000;152.8100000;57446800
GAZP;D;20161202;000000;152.8000000;153.6400000;151.8000000;152.3500000;27070280
GAZP;D;20161205;000000;152.1800000;153.9900000;152.0900000;153.7800000;35063240
GAZP;D;20161206;000000;153.9200000;154.5500000;151.2700000;151.5000000;35477340
GAZP;D;20161207;000000;151.5600000;152.6100000;150.9200000;151.9500000;23401680
GAZP;D;20161208;000000;152.4800000;153.7000000;151.8900000;153.0500000;31360460
GAZP;D;20161209;000000;153.5000000;153.8300000;152.1800000;152.9900000;26721530
